"id","title","body","leading","slug","type","status","user_id","image_id","parent_id","lat","lng","rate","search_body","published_at","deleted_at","created_at","updated_at"
2,"www.sonicyouth.com","<p>ソニックユースのオフィシャルサイトを最初に崇め奉ることで、スタートアップの要石にしようとする試みなんだぜ！</p>

<p>http://www.sonicyouth.com/</p>",NULL,"www_sonicyouth_com","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 02:44:29",NULL,"2007-04-05 02:44:29","2019-05-31 23:51:25"
5,"postscript5","<p>可愛らしいアナログデザインと、緻密で正確なCSSグリッドレイアウトは、実によく親和するという好例。</p>

<p>http://www.postscript5.co.uk/</p>",NULL,"postscript5","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 02:52:53",NULL,"2007-04-05 02:52:53","2019-05-31 23:51:25"
8,"A List Apart","<p>近代WEBデザイン史を専攻する上で、ここは外せないっす。</p>

<p>http://www.alistapart.com/</p>",NULL,"a_list_apart","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 03:09:50",NULL,"2007-04-05 03:09:50","2019-05-31 23:51:26"
11,"nintendo8.com","<p>うわっちゃー。何これ。nintendoのゲームがオンラインで出来ると言う代物。ダウンロードの必要なし。まだ試してないっす。</p>

<p>http://nintendo8.com/</p>",NULL,"nintendo8_com","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 06:13:54",NULL,"2007-04-05 06:13:54","2019-05-31 23:51:26"
15,"オオクボＴ、東京にて杉Ｊと…","<p>隣の席の人が杉Ｊ杉Ｊ言ってて。まさか。
<br />福岡の奇人オオクボTとの対バン。テクマ！も！</p>

<p>http://www.perfectmusic.jp/label/artist/?lid=5&amp;pid=10029</p>",NULL,"8b642c3e-399a-4b4d-9648-fb59bdbac1ff","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 07:52:48",NULL,"2007-04-05 07:52:48","2019-05-31 23:51:26"
21,"カセットをリサイクル","<p>カセットのコインケース。
<br />かーーーわいいいーーーーー！！！</p>

<p>http://www.designboom.com/shop/cassettewallet.html</p>",NULL,"20ed069a-44f1-4cb1-9a43-818a08a369b2","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 16:02:14",NULL,"2007-04-05 16:02:14","2019-05-31 23:51:26"
24,"YouTube：Mackenzie Crookが…","<p>パイレーツオブカリビアンの海賊の細い方Mackenzie Crookです
<br />きゅきゅーん。</p>

<p>■Stewart Wright ? Mackenzie Crookとのこと。
<br />http://www.marloh.com/HTML/gallery/PR_advertising/index2wow.html</p>

<p>■やばーい！満員電車ショット！など！
<br />http://www.blakesjunction7.com/gallery/main.php?g2_itemId=162
<br />http://www.blakesjunction7.com/gallery/main.php?g2_itemId=275
<br />http://www.blakesjunction7.com/gallery/main.php?g2_itemId=224</p>

<p>http://www.youtube.com/watch?v=PijDVWxs7_U</p>",NULL,"youtube_mackenzie_crook","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 16:39:11",NULL,"2007-04-05 16:39:11","2019-05-31 23:51:26"
29,"ANIME：地球へ…","<p>うっおー。絵が…絵が…</p>

<p>http://www.terra-e.com/</p>","","anime-terra","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 16:44:47",NULL,"2007-04-05 16:44:47","2019-05-31 23:51:26"
31,"bubble.swf","<p>バブルボブルじゃん！</p>

<p>http://www.michaelhodges.com/stuff/bubble.swf</p>",NULL,"bubble_swf","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-05 18:47:51",NULL,"2007-04-05 18:47:51","2019-05-31 23:51:26"
33,"CGアニメ：インセクターズ（Insektors）","<p>懐かしいーー。むかし凄い見てた。
<br />日本語は流石に無いなぁ。</p>

<p>http://www.youtube.com/watch?v=YcAPxoYfzNE</p>","","cg_insektors","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-06 12:04:33",NULL,"2007-04-06 12:04:33","2019-05-31 23:51:26"
