"id","title","body","leading","slug","type","status","user_id","image_id","parent_id","lat","lng","rate","search_body","published_at","deleted_at","created_at","updated_at"
3,"Sonic Youth","<p></p>","ソニック・ユース","sonic-youth","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:31",NULL,"2016-11-17 07:15:31","2019-05-31 23:51:25"
4,"Design","<p></p>","デザイン","design","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:32",NULL,"2016-11-17 07:15:32","2019-05-31 23:51:25"
6,"Web","<p></p>","ウェブ","web","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:32",NULL,"2016-11-17 07:15:32","2019-05-31 23:51:26"
7,"CSS","<p></p>",NULL,"css","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:32",NULL,"2016-11-17 07:15:32","2019-05-31 23:51:26"
9,"Development","<p></p>","開発","development","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:33",NULL,"2016-11-17 07:15:33","2019-05-31 23:51:26"
10,"Nintendo","<p></p>","任天堂","nintendo","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:35",NULL,"2016-11-17 07:15:35","2019-05-31 23:51:26"
13,"Free","<p></p>","フリー","free","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:35",NULL,"2016-11-17 07:15:35","2019-05-31 23:51:26"
14,"Live","<p></p>","ライブ","live","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
16,"Fukuoka","<p></p>","福岡","fukuoka","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
17,"Event","<p></p>","イベント","event","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
18,"秋葉原グッドマン","<p></p>","","goodman","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
19,"オオクボＴ",NULL,NULL,"オオクボＴ","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
20,"Cassette","<p></p>","カセット","cassette","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
22,"Wallet","<p></p>","サイフ","wallet","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:36",NULL,"2016-11-17 07:15:36","2019-05-31 23:51:26"
23,"Mackenzie Crook",NULL,NULL,"mackenzie-crook","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:38",NULL,"2016-11-17 07:15:38","2019-05-31 23:51:26"
26,"Stewart Wright",NULL,NULL,"stewart-wright","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:38",NULL,"2016-11-17 07:15:38","2019-05-31 23:51:26"
27,"Pro Wrestling","<p></p>","プロレス","pro-wrestling","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:38",NULL,"2016-11-17 07:15:38","2019-05-31 23:51:26"
28,"TV","<p></p>","テレビ","tv","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:40",NULL,"2016-11-17 07:15:40","2019-05-31 23:51:26"
30,"漫画",NULL,NULL,"漫画","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:40",NULL,"2016-11-17 07:15:40","2019-05-31 23:51:26"
32,"Flash","<p></p>","フラッシュ","flash","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:40",NULL,"2016-11-17 07:15:40","2019-05-31 23:51:26"
34,"NHK","<p></p>","","nhk","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
35,"3D","<p></p>",NULL,"3d","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
36,"Insektors",NULL,NULL,"insektors","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
38,"tag",NULL,NULL,"tag","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
39,"DQN",NULL,NULL,"dqn","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
41,"News","<p></p>",NULL,"news","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:41",NULL,"2016-11-17 07:15:41","2019-05-31 23:51:26"
42,"YouTube","<p></p>","","youtube","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:42",NULL,"2016-11-17 07:15:42","2019-05-31 23:51:26"
44,"Supergrass","<p></p>","スーパーグラス","supergrass","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:42",NULL,"2016-11-17 07:15:42","2019-05-31 23:51:26"
47,"バカ",NULL,NULL,"バカ","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:43",NULL,"2016-11-17 07:15:43","2019-05-31 23:51:26"
48,"INN JAPAN","<p></p>","","inn-japan","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:43",NULL,"2016-11-17 07:15:43","2019-05-31 23:51:26"
49,"RAW LIFE","<p></p>","","raw-life","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:43",NULL,"2016-11-17 07:15:43","2019-05-31 23:51:26"
52,"かわゆい",NULL,NULL,"かわゆい","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:44",NULL,"2016-11-17 07:15:44","2019-05-31 23:51:26"
53,"ガーリィ",NULL,NULL,"ガーリィ","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:44",NULL,"2016-11-17 07:15:44","2019-05-31 23:51:26"
56,"Chatmonchy","<p></p>","チャットモンチー","chatmonchy","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:45",NULL,"2016-11-17 07:15:45","2019-05-31 23:51:26"
57,"J-POP","<p></p>","","j-pop","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:45",NULL,"2016-11-17 07:15:45","2019-05-31 23:51:26"
59,"世界樹の迷宮","<p></p>","","世界樹の迷宮","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:45",NULL,"2016-11-17 07:15:45","2019-05-31 23:51:26"
61,"Band","<p></p>","バンド","band","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:46",NULL,"2016-11-17 07:15:46","2019-05-31 23:51:26"
62,"ANA",NULL,NULL,"ana","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:46",NULL,"2016-11-17 07:15:46","2019-05-31 23:51:26"
66,"Myspace","<p></p>","マイスペース","myspace","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:48",NULL,"2016-11-17 07:15:48","2019-05-31 23:51:26"
67,"Call and Response Records","<p></p>","","call-and-response-records","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:48",NULL,"2016-11-17 07:15:48","2019-05-31 23:51:26"
68,"百蚊","<p></p>","","百蚊","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:48",NULL,"2016-11-17 07:15:48","2019-05-31 23:51:26"
71,"ウメ","<p></p>","","ウメ","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:49",NULL,"2016-11-17 07:15:49","2019-05-31 23:51:26"
72,"お笑い",NULL,NULL,"お笑い","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:49",NULL,"2016-11-17 07:15:49","2019-05-31 23:51:26"
75,"Saw","<p></p>","ソウ","saw","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:50",NULL,"2016-11-17 07:15:50","2019-05-31 23:51:26"
76,"Cook","<p></p>","料理","cook","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:51",NULL,"2016-11-17 07:15:51","2019-05-31 23:51:26"
79,"storage",NULL,NULL,"storage","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:51",NULL,"2016-11-17 07:15:51","2019-05-31 23:51:26"
81,"HDD",NULL,NULL,"hdd","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:51",NULL,"2016-11-17 07:15:51","2019-05-31 23:51:26"
82,"Web Service","<p></p>","ウェブサービス","webservice","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:51",NULL,"2016-11-17 07:15:51","2019-05-31 23:51:26"
84,"craigslist",NULL,NULL,"craigslist","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:52",NULL,"2016-11-17 07:15:52","2019-05-31 23:51:26"
85,"bignoob",NULL,NULL,"bignoob","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:52",NULL,"2016-11-17 07:15:52","2019-05-31 23:51:26"
87,"webby",NULL,NULL,"webby","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:52",NULL,"2016-11-17 07:15:52","2019-05-31 23:51:26"
89,"R.E.M.","<p></p>","","r-e-m","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:53",NULL,"2016-11-17 07:15:53","2019-05-31 23:51:26"
91,"Twitter","<p></p>","ツイッター","twitter","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:53",NULL,"2016-11-17 07:15:53","2019-05-31 23:51:26"
92,"Marketing","<p></p>","マーケティング","marketing","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:53",NULL,"2016-11-17 07:15:53","2019-05-31 23:51:26"
93,"twitterment",NULL,NULL,"twitterment","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:53",NULL,"2016-11-17 07:15:53","2019-05-31 23:51:26"
94,"ゆるキャラ",NULL,NULL,"ゆるキャラ","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:54",NULL,"2016-11-17 07:15:54","2019-05-31 23:51:26"
97,"ラーメン",NULL,NULL,"ラーメン","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:54",NULL,"2016-11-17 07:15:54","2019-05-31 23:51:26"
99,"Photo","<p></p>","写真","photo","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:55",NULL,"2016-11-17 07:15:55","2019-05-31 23:51:26"
101,"奇跡",NULL,NULL,"奇跡","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:55",NULL,"2016-11-17 07:15:55","2019-05-31 23:51:26"
102,"Weekly Teinou 蜂 Woman",NULL,NULL,"weekly-teinou-woman","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:55",NULL,"2016-11-17 07:15:55","2019-05-31 23:51:26"
105,"Smashing Pumpkins","<p></p>","スマッシング・パンプキンズ","smashing-pumpkins","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:56",NULL,"2016-11-17 07:15:56","2019-05-31 23:51:26"
106,"James Iha","<p></p>","ジェームス・イハ","james-iha","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:56",NULL,"2016-11-17 07:15:56","2019-05-31 23:51:26"
109,"Wii","<p></p>","","wii","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:57",NULL,"2016-11-17 07:15:57","2019-05-31 23:51:26"
110,"mii",NULL,NULL,"mii-a535220a-de03-49b1-951a-2b5e380a224b","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:57",NULL,"2016-11-17 07:15:57","2019-05-31 23:51:26"
111,"Engadget","<p></p>","","engadget","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:15:57",NULL,"2016-11-17 07:15:57","2019-05-31 23:51:26"
116,"Michel Gondry","<p></p>","ミシェル・ゴンドリー","michel-gondry","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:16:00",NULL,"2016-11-17 07:16:00","2019-05-31 23:51:26"
118,"Web Magazine","<p></p>","","web-magazine","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:16:01",NULL,"2016-11-17 07:16:01","2019-05-31 23:51:26"
120,"Analog","<p></p>","アナログ","analog","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:16:01",NULL,"2016-11-17 07:16:01","2019-05-31 23:51:26"
121,"Synthesizer","<p></p>","シンセサイザー","synthesizer","tag","published",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-17 07:16:01",NULL,"2016-11-17 07:16:01","2019-05-31 23:51:26"
